concurso;data_do_sorteio;bola1;bola2;bola3;bola4;bola5;bola6;ganhadores_sena;cidade;rateio_sena;ganhadores_quina;rateio_quina;ganhadores_quadra;rateio_quadra;valor_acumulado;arrecadacao_total;estimativa_prêmio;acumulado_megadavirada;uf
214;2000-4-08;6;12;30;31;35;50;0;;0.00;54;15578.04;3769;222.35;1009456.63;0.00;0.00;0.00;NULL
215;2000-4-15;7;28;37;46;53;58;0;;0.00;78;12078.40;4942;189.92;2139994.41;0.00;0.00;0.00;NULL
216;2000-4-22;14;18;30;35;42;59;4;"BA; MG; RJ; SP";801057.55;91;9745.75;5049;175.00;0.00;0.00;0.00;0.00;NULL
217;2000-4-29;3;27;32;45;49;51;0;;0.00;159;4599.62;5820;125.19;877607.32;0.00;0.00;0.00;NULL
218;2000-5-06;12;17;40;42;47;54;1;PR;1878255.09;95;8777.61;4679;177.55;0.00;0.00;0.00;0.00;NULL
219;2000-5-13;23;26;28;36;42;49;0;;0.00;80;9221.78;5139;143.02;885291.29;0.00;0.00;0.00;NULL
220;2000-5-20;13;14;36;53;55;60;1;SP;12636751.12;125;12488.05;8067;192.78;0.00;0.00;0.00;0.00;NULL
221;2000-5-27;13;27;43;50;54;58;0;;0.00;49;14565.66;3793;187.45;856460.89;0.00;0.00;0.00;NULL
222;2000-6-03;5;19;30;48;52;55;0;;0.00;55;15243.16;4462;187.18;1862509.60;0.00;0.00;0.00;NULL
223;2000-6-10;2;6;22;24;28;58;0;;0.00;163;5838.31;7780;121.86;3004483.21;0.00;0.00;0.00;NULL
224;2000-6-17;7;16;18;20;21;44;0;;0.00;119;8706.35;7185;143.77;4247750.04;0.00;0.00;0.00;NULL
225;2000-6-24;2;4;16;21;37;58;0;;0.00;83;12542.39;5517;188.14;5496971.76;0.00;0.00;0.00;NULL
226;2000-7-01;1;2;38;49;50;59;1;SP;6916920.13;78;15170.39;4123;286.14;0.00;0.00;0.00;0.00;NULL
227;2000-7-08;11;26;27;37;42;48;0;;0.00;51;14471.45;3648;201.72;885652.57;0.00;0.00;0.00;NULL
228;2000-7-15;13;16;40;43;45;59;0;;0.00;64;13240.28;4497;187.87;1902506.15;0.00;0.00;0.00;NULL
229;2000-7-22;11;13;21;33;39;45;1;AM;2992781.57;121;7508.79;7685;117.88;0.00;0.00;0.00;0.00;NULL
230;2000-7-29;8;40;41;44;53;56;0;;0.00;94;15000.56;5820;241.56;9547336.00;0.00;0.00;0.00;NULL
231;2000-8-05;16;27;36;42;44;59;0;;0.00;125;12896.11;9458;169.93;11481752.44;0.00;0.00;0.00;NULL
232;2000-8-12;19;22;29;37;41;59;0;;0.00;124;14598.36;8807;204.93;13653988.77;0.00;0.00;0.00;NULL
233;2000-8-19;3;7;24;32;36;45;5;"DF; SP";3196547.03;512;3790.28;21452;90.20;0.00;0.00;0.00;0.00;NULL
234;2000-8-26;15;25;41;42;45;54;0;;0.00;39;19369.91;3505;214.89;906511.63;0.00;0.00;0.00;NULL
235;2000-9-02;2;22;29;31;41;55;0;;0.00;52;16604.49;3086;278.96;1942631.63;0.00;0.00;0.00;NULL
236;2000-9-09;10;25;50;52;57;60;0;;0.00;76;12197.95;4703;196.53;3055084.91;0.00;0.00;0.00;NULL
237;2000-9-16;7;31;36;45;56;57;0;;0.00;54;19896.75;4145;258.44;4344394.18;0.00;0.00;0.00;NULL
238;2000-9-23;9;13;15;37;41;42;4;"BA; SP";1429476.11;188;6088.25;10483;108.86;0.00;0.00;0.00;0.00;NULL
239;2000-9-30;6;21;33;44;46;47;1;BA;866183.32;30;24060.65;3826;188.10;0.00;0.00;0.00;0.00;NULL
240;2000-10-07;25;28;38;41;57;59;0;;0.00;103;15200.74;6244;250.00;11686511.34;0.00;0.00;0.00;NULL
241;2000-10-14;11;31;35;40;56;57;0;;0.00;74;22811.94;5485;306.85;13712211.55;0.00;0.00;0.00;NULL
242;2000-10-21;4;7;21;22;28;56;0;;0.00;203;9933.73;13497;148.97;16132069.11;0.00;0.00;0.00;NULL
243;2000-10-28;11;16;20;23;32;47;0;;0.00;180;12019.97;13705;157.40;18728383.13;0.00;0.00;0.00;NULL
244;2000-11-04;19;24;33;47;50;60;0;;0.00;204;13698.02;14735;189.08;22081659.67;0.00;0.00;0.00;NULL
245;2000-11-11;8;27;44;51;53;60;3;"GO; MG; SC";9153484.88;283;15838.62;21593;206.96;0.00;0.00;0.00;0.00;NULL
246;2000-11-18;2;16;32;37;43;57;0;;0.00;93;9292.06;5429;158.71;1036993.80;0.00;0.00;0.00;NULL
247;2000-11-25;3;10;23;30;34;46;0;;0.00;80;12080.19;6425;149.96;2196692.29;0.00;0.00;0.00;NULL
248;2000-12-02;16;32;34;35;41;56;0;;0.00;50;21550.72;4862;220.96;3489735.08;0.00;0.00;0.00;NULL
249;2000-12-09;21;36;40;49;54;55;0;;0.00;60;19680.20;4247;277.21;4906709.76;0.00;0.00;0.00;NULL
250;2000-12-16;7;25;41;42;43;55;0;;0.00;203;10867.31;15545;141.50;22593628.59;0.00;0.00;0.00;NULL
251;2000-12-23;15;23;30;34;49;55;0;;0.00;180;15473.98;12813;216.73;25936007.67;0.00;0.00;0.00;NULL
252;2000-12-30;4;17;26;32;51;54;2;"DF; SP";15107002.24;354;10070.62;22122;160.67;0.00;0.00;0.00;0.00;NULL
253;2001-1-06;11;12;24;37;44;56;0;;0.00;126;6985.77;7260;120.88;1056248.75;0.00;0.00;0.00;NULL
254;2001-1-13;1;4;21;22;30;56;0;;0.00;66;16400.47;6381;169.14;2355166.17;0.00;0.00;0.00;NULL
255;2001-1-20;16;19;20;32;44;55;0;;0.00;80;14363.63;6812;168.19;3734074.48;0.00;0.00;0.00;NULL
256;2001-1-27;2;21;26;32;34;52;0;;0.00;91;13336.96;6319;191.49;5190470.09;0.00;0.00;0.00;NULL
257;2001-2-03;1;4;5;19;28;34;1;RJ;6808483.96;175;7704.83;11706;114.84;0.00;0.00;0.00;0.00;NULL
258;2001-2-10;7;12;50;54;55;60;0;;0.00;53;15960.68;3615;233.30;1015099.19;0.00;0.00;0.00;NULL
259;2001-2-17;13;15;20;33;43;58;0;;0.00;65;15136.22;5581;175.77;2195724.03;0.00;0.00;0.00;NULL
260;2001-2-24;4;6;33;43;59;60;0;;0.00;120;16065.94;8956;214.63;17357124.85;0.00;0.00;0.00;NULL
261;2001-3-03;5;16;20;30;54;56;0;;0.00;91;22350.19;7281;278.51;19797765.32;0.00;0.00;0.00;NULL
262;2001-3-10;11;20;48;53;58;60;0;;0.00;108;24643.78;8838;300.24;22991600.18;0.00;0.00;0.00;NULL
263;2001-3-17;8;9;26;43;50;53;0;;0.00;136;24937.18;12752;265.17;27061348.12;0.00;0.00;0.00;NULL
264;2001-3-24;1;5;13;25;31;33;2;"CE; SP";16055880.73;979;4298.96;50364;83.25;0.00;0.00;0.00;0.00;NULL
265;2001-3-31;7;16;34;41;50;53;0;;0.00;64;14676.59;3855;242.74;1127161.81;0.00;0.00;0.00;NULL
266;2001-4-07;2;23;38;46;48;54;0;;0.00;89;12318.14;6687;163.33;2442739.49;0.00;0.00;0.00;NULL
267;2001-4-14;1;8;45;46;55;58;0;;0.00;46;23142.59;4076;260.19;3720210.04;0.00;0.00;0.00;NULL
268;2001-4-21;5;6;10;21;33;47;0;;0.00;111;10348.29;10133;112.93;5098601.74;0.00;0.00;0.00;NULL
269;2001-4-28;17;18;19;25;49;52;0;;0.00;110;12115.70;8717;152.31;6697873.66;0.00;0.00;0.00;NULL
270;2001-5-05;5;9;27;35;40;45;1;SP;25186260.21;228;9665.14;16867;130.16;0.00;0.00;0.00;0.00;NULL
271;2001-5-12;14;24;26;29;31;54;0;;0.00;43;19939.25;4385;194.79;1028865.23;0.00;0.00;0.00;NULL
272;2001-5-19;9;10;24;36;56;58;0;;0.00;70;14013.37;5491;177.97;2205988.15;0.00;0.00;0.00;NULL
273;2001-5-26;10;17;23;27;47;52;1;PE;3456480.23;92;11326.92;7241;143.38;0.00;0.00;0.00;0.00;NULL
274;2001-6-02;11;13;18;26;39;47;0;;0.00;142;5488.22;7420;104.64;935192.94;0.00;0.00;0.00;NULL
275;2001-6-09;16;19;30;37;38;48;0;;0.00;41;22897.52;3737;250.27;2061751.10;0.00;0.00;0.00;NULL
276;2001-6-16;22;39;45;53;57;59;0;;0.00;79;12486.98;5172;190.01;3245516.79;0.00;0.00;0.00;NULL
277;2001-6-23;4;26;38;40;52;56;0;;0.00;95;11578.72;5404;202.78;4565490.29;0.00;0.00;0.00;NULL
278;2001-6-30;10;15;18;22;31;55;0;;0.00;99;11868.09;6996;167.32;5975419.10;0.00;0.00;0.00;NULL
279;2001-7-07;4;23;31;47;58;59;0;;0.00;58;23664.88;6137;222.81;7622494.24;0.00;0.00;0.00;NULL
280;2001-7-14;5;16;20;25;30;58;0;;0.00;192;11199.47;14673;146.00;19351758.16;0.00;0.00;0.00;NULL
281;2001-7-21;5;11;31;38;47;53;1;PR;22414093.50;188;13574.18;12864;197.63;0.00;0.00;0.00;0.00;NULL
282;2001-7-28;9;14;23;24;33;36;1;RJ;958878.82;76;10514.03;6064;131.27;0.00;0.00;0.00;0.00;NULL
283;2001-8-01;25;28;34;42;48;54;1;SP;367173.22;36;8499.38;2126;143.38;0.00;0.00;0.00;0.00;NULL
284;2001-8-04;7;8;14;30;32;36;1;PR;901884.48;75;10020.94;5358;139.74;0.00;0.00;0.00;0.00;NULL
285;2001-8-08;12;32;37;41;50;56;0;;0.00;17;20875.96;1173;301.41;425869.64;0.00;0.00;0.00;NULL
286;2001-8-11;29;35;37;44;47;56;0;;0.00;59;13743.96;3739;216.06;1398941.94;0.00;0.00;0.00;NULL
287;2001-8-15;3;13;25;33;47;60;1;TO;1931474.80;110;4034.34;5633;78.49;0.00;0.00;0.00;0.00;NULL
288;2001-8-18;6;9;11;17;18;50;0;;0.00;82;8749.64;4763;150.07;860964.72;0.00;0.00;0.00;NULL
289;2001-8-22;6;7;20;25;30;36;0;;0.00;29;13819.12;2197;181.72;1341870.11;0.00;0.00;0.00;NULL
290;2001-8-25;7;25;26;30;40;57;0;;0.00;56;20662.23;4869;236.75;10159688.47;0.00;0.00;0.00;NULL
291;2001-8-29;5;16;17;18;22;41;0;;0.00;71;11244.78;4870;163.32;11117743.68;0.00;0.00;0.00;NULL
292;2001-9-01;13;23;24;34;45;53;0;;0.00;116;11313.30;8670;150.80;12692554.40;0.00;0.00;0.00;NULL
293;2001-9-05;5;6;7;12;28;35;0;;0.00;167;5817.88;10185;95.03;13858457.03;0.00;0.00;0.00;NULL
294;2001-9-08;22;25;28;41;45;57;2;"PR; SP";7696680.33;130;9839.13;7434;171.41;0.00;0.00;0.00;0.00;NULL
295;2001-9-12;7;12;24;31;44;50;0;;0.00;36;10242.27;2055;178.75;442466.08;0.00;0.00;0.00;NULL
296;2001-9-15;3;20;42;46;51;52;0;;0.00;29;26582.95;2348;327.09;1367552.68;0.00;0.00;0.00;NULL
297;2001-9-19;1;20;28;33;36;41;0;;0.00;25;19353.56;1920;251.05;1948159.43;0.00;0.00;0.00;NULL
298;2001-9-22;5;22;23;24;34;60;1;PR;2994572.21;50;17440.22;4372;198.71;0.00;0.00;0.00;0.00;NULL
299;2001-9-26;2;5;7;33;49;53;0;;0.00;33;10538.82;2049;169.09;417337.23;0.00;0.00;0.00;NULL
300;2001-9-29;24;27;28;38;41;57;0;;0.00;48;22820.73;4820;226.40;8421199.74;0.00;0.00;0.00;NULL
301;2001-10-03;9;26;48;49;57;58;0;;0.00;28;29571.34;2892;285.22;9414796.91;0.00;0.00;0.00;NULL
302;2001-10-06;12;25;30;40;41;60;0;;0.00;101;13505.06;6361;213.63;11051609.38;0.00;0.00;0.00;NULL
303;2001-10-10;7;13;17;30;37;47;1;MS;12257748.27;215;4674.95;12861;77.86;0.00;0.00;0.00;0.00;NULL
304;2001-10-13;7;11;34;41;42;59;0;;0.00;58;11050.10;3274;195.02;769087.04;0.00;0.00;0.00;NULL
305;2001-10-17;5;11;27;38;53;60;0;;0.00;47;10013.62;3770;124.37;1333855.18;0.00;0.00;0.00;NULL
306;2001-10-20;19;30;41;47;56;57;0;;0.00;28;29736.18;2294;361.58;2332990.80;0.00;0.00;0.00;NULL
307;2001-10-24;13;16;17;26;41;44;0;;0.00;44;12632.80;3962;139.76;3000002.70;0.00;0.00;0.00;NULL
308;2001-10-27;4;11;25;29;39;55;1;RS;4138172.99;62;15297.99;5173;182.67;0.00;0.00;0.00;0.00;NULL
309;2001-10-31;4;11;25;39;50;55;1;RS;442899.06;3001;122.53;2997;122.69;0.00;0.00;0.00;0.00;NULL
310;2001-11-03;2;14;28;29;31;32;0;;0.00;81;10544.47;5093;167.07;7512984.90;0.00;0.00;0.00;NULL
311;2001-11-07;22;24;30;32;38;41;0;;0.00;31;25454.68;2871;273.81;8459898.95;0.00;0.00;0.00;NULL
312;2001-11-10;14;23;30;41;47;50;0;;0.00;76;15889.75;4985;241.33;9909043.97;0.00;0.00;0.00;NULL
313;2001-11-14;14;16;24;37;38;53;0;;0.00;61;15665.21;5547;171.62;11055737.35;0.00;0.00;0.00;NULL
314;2001-11-17;5;32;34;37;40;58;0;;0.00;93;12287.32;5542;205.42;12427002.17;0.00;0.00;0.00;NULL
315;2001-11-21;12;21;22;28;43;50;1;PR;13675105.67;43;24188.06;4598;225.35;0.00;0.00;0.00;0.00;NULL
316;2001-11-24;6;24;28;43;51;56;0;;0.00;104;6446.33;4093;163.18;804502.07;0.00;0.00;0.00;NULL
317;2001-11-28;16;20;27;30;35;48;0;;0.00;23;18858.99;2088;206.96;1325010.22;0.00;0.00;0.00;NULL
318;2001-12-01;3;19;20;31;40;53;1;SP;2227008.03;46;16340.54;3071;243.84;0.00;0.00;0.00;0.00;NULL
319;2001-12-05;12;16;17;19;23;48;0;;0.00;52;7242.06;3342;112.26;451904.22;0.00;0.00;0.00;NULL
320;2001-12-08;20;22;27;47;50;53;0;;0.00;77;15489.00;4916;241.69;8460390.65;0.00;0.00;0.00;NULL
321;2001-12-12;4;11;31;32;48;49;0;;0.00;55;16954.09;3729;249.11;9579360.38;0.00;0.00;0.00;NULL
322;2001-12-15;11;18;29;44;47;56;0;;0.00;87;15453.45;7835;170.95;11192700.36;0.00;0.00;0.00;NULL
323;2001-12-19;26;31;33;40;49;54;0;;0.00;56;19921.91;4244;261.89;12531452.28;0.00;0.00;0.00;NULL
324;2001-12-22;8;15;22;25;30;47;0;;0.00;211;7938.40;12192;136.87;14541455.70;0.00;0.00;0.00;NULL
325;2001-12-29;1;3;4;21;23;53;2;"AM; SP";8743877.80;256;9590.82;15646;156.33;0.00;0.00;0.00;0.00;NULL
326;2002-1-05;21;23;40;44;51;52;0;;0.00;27;32367.36;2674;325.58;1048702.44;0.00;0.00;0.00;NULL
327;2002-1-09;29;32;33;38;46;48;0;;0.00;16;30517.93;2112;230.33;1634646.68;0.00;0.00;0.00;NULL
328;2002-1-12;5;7;14;21;23;51;1;SP;2721357.01;100;9055.92;7121;126.69;0.00;0.00;0.00;0.00;NULL
329;2002-1-16;10;11;12;24;35;40;0;;0.00;40;10380.30;2904;142.44;9617027.24;0.00;0.00;0.00;NULL
330;2002-1-19;2;4;14;23;37;51;0;;0.00;120;10924.51;7914;165.03;11190156.01;0.00;0.00;0.00;NULL
331;2002-1-23;1;13;20;27;35;37;0;;0.00;70;13872.44;6408;150.97;12355441.42;0.00;0.00;0.00;NULL
332;2002-1-26;23;28;29;34;42;44;0;;0.00;83;16762.69;6713;206.47;14025004.81;0.00;0.00;0.00;NULL
333;2002-1-30;4;27;35;44;52;53;0;;0.00;93;12692.31;6221;189.02;15441466.12;0.00;0.00;0.00;NULL
334;2002-2-02;14;23;24;26;41;51;2;SP;8729392.91;1200;1400.91;8839;189.47;0.00;0.00;0.00;0.00;NULL
335;2002-2-06;7;23;33;43;57;59;0;;0.00;24;17736.83;2134;198.73;510820.70;0.00;0.00;0.00;NULL
336;2002-2-09;2;18;22;26;30;54;0;;0.00;68;11058.60;4141;180.91;1413202.70;0.00;0.00;0.00;NULL
337;2002-2-16;4;14;16;31;52;54;0;;0.00;34;27110.52;3454;265.86;2519311.97;0.00;0.00;0.00;NULL
338;2002-2-20;1;4;9;36;46;48;0;;0.00;43;14031.02;3245;185.23;3243312.50;0.00;0.00;0.00;NULL
339;2002-2-23;5;12;13;16;27;50;0;;0.00;76;12374.85;6908;135.64;12514336.94;0.00;0.00;0.00;NULL
340;2002-2-27;9;10;12;33;42;60;0;;0.00;121;9877.84;6970;170.83;13948598.35;0.00;0.00;0.00;NULL
341;2002-3-02;5;16;22;23;43;56;0;;0.00;166;9623.14;11103;143.34;15865526.88;0.00;0.00;0.00;NULL
342;2002-3-06;16;29;34;49;51;54;0;;0.00;93;15067.81;5578;250.27;17547094.93;0.00;0.00;0.00;NULL
343;2002-3-09;4;6;7;12;24;41;2;"PR; RJ";9937283.03;246;7884.39;17023;113.51;0.00;0.00;0.00;0.00;NULL
344;2002-3-13;10;12;14;33;35;36;0;;0.00;46;9494.33;3487;124.78;524086.97;0.00;0.00;0.00;NULL
345;2002-3-16;11;22;46;51;56;58;1;SP;1447870.53;27;28511.84;2170;353.42;0.00;0.00;0.00;0.00;NULL
346;2002-3-20;7;12;41;46;56;60;0;;0.00;20;19632.30;1589;246.17;471175.04;0.00;0.00;0.00;NULL
347;2002-3-23;1;10;12;26;48;52;0;;0.00;72;9988.89;4730;151.48;1334215.32;0.00;0.00;0.00;NULL
348;2002-3-27;19;30;33;39;40;52;0;;0.00;19;26763.06;1547;327.46;1944413.01;0.00;0.00;0.00;NULL
349;2002-3-30;8;9;28;32;38;54;0;;0.00;46;14053.06;3264;197.31;10405636.15;0.00;0.00;0.00;NULL
350;2002-4-03;10;15;23;30;43;57;0;;0.00;80;11801.82;5012;187.66;11538610.20;0.00;0.00;0.00;NULL
351;2002-4-06;15;16;24;41;59;60;0;;0.00;98;14478.34;5832;242.37;13241262.56;0.00;0.00;0.00;NULL
352;2002-4-10;7;20;25;44;47;49;0;;0.00;161;7848.74;8080;155.80;14757638.49;0.00;0.00;0.00;NULL
353;2002-4-13;19;23;30;46;55;60;0;;0.00;89;19537.11;6862;252.44;16844201.81;0.00;0.00;0.00;NULL
354;2002-4-17;7;16;38;40;41;52;1;SP;18680098.10;93;16450.68;6184;246.46;0.00;0.00;0.00;0.00;NULL
355;2002-4-20;2;14;22;23;37;60;0;;0.00;50;14412.47;4711;152.39;864747.94;0.00;0.00;0.00;NULL
356;2002-4-24;5;19;21;54;56;58;0;;0.00;32;15777.72;2415;208.28;1470612.40;0.00;0.00;0.00;NULL
357;2002-4-27;2;30;32;35;45;53;0;;0.00;34;23899.52;3265;247.94;2445712.66;0.00;0.00;0.00;NULL
358;2002-5-04;12;17;21;32;40;42;0;;0.00;84;12903.06;5798;186.23;3746340.86;0.00;0.00;0.00;NULL
359;2002-5-08;13;19;20;29;31;54;0;;0.00;56;13050.25;3953;184.17;13221837.92;0.00;0.00;0.00;NULL
360;2002-5-11;23;24;29;47;53;55;0;;0.00;133;10645.79;8382;168.28;14920906.83;0.00;0.00;0.00;NULL
361;2002-5-15;16;28;31;41;45;59;0;;0.00;98;12456.14;5236;232.26;16385748.75;0.00;0.00;0.00;NULL
362;2002-5-18;7;20;33;37;46;56;1;RJ;18399160.53;110;15253.12;8313;201.08;0.00;0.00;0.00;0.00;NULL
363;2002-5-22;19;29;39;47;49;54;0;;0.00;27;14921.89;2225;180.39;483469.12;0.00;0.00;0.00;NULL
364;2002-5-25;5;29;44;51;57;59;1;SC;1307293.04;76;9033.16;3315;206.32;0.00;0.00;0.00;0.00;NULL
365;2002-5-29;19;23;34;37;52;58;1;MG;462752.26;45;8569.49;2433;157.90;0.00;0.00;0.00;0.00;NULL
366;2002-6-01;4;6;7;15;21;51;0;;0.00;41;12721.16;3489;148.93;625880.91;0.00;0.00;0.00;NULL
367;2002-6-05;10;12;27;33;49;52;1;BA;1150498.02;71;6157.48;3040;143.27;0.00;0.00;0.00;0.00;NULL
368;2002-6-08;13;29;32;38;44;50;0;;0.00;53;10725.28;3220;175.87;682127.44;0.00;0.00;0.00;NULL
369;2002-6-12;1;14;21;35;42;60;1;CE;1221738.07;46;9775.55;4167;107.51;0.00;0.00;0.00;0.00;NULL
370;2002-6-15;1;4;40;42;51;54;0;;0.00;40;23283.30;3230;287.25;7330667.64;0.00;0.00;0.00;NULL
371;2002-6-19;4;18;23;33;39;60;0;;0.00;47;16675.12;3979;196.23;8271144.70;0.00;0.00;0.00;NULL
372;2002-6-22;16;17;24;39;46;57;2;SP;4792658.35;85;12884.04;6743;161.80;0.00;0.00;0.00;0.00;NULL
373;2002-6-26;1;5;10;24;31;33;0;;0.00;52;6480.14;3292;101.98;404360.65;0.00;0.00;0.00;NULL
374;2002-6-29;2;5;16;26;44;54;0;;0.00;80;8073.17;3326;193.45;1179384.47;0.00;0.00;0.00;NULL
375;2002-7-03;1;5;9;42;51;58;0;;0.00;33;14359.09;2359;200.11;1748004.50;0.00;0.00;0.00;NULL
376;2002-7-06;10;13;25;35;43;48;0;;0.00;110;7257.00;6956;114.33;2705928.72;0.00;0.00;0.00;NULL
377;2002-7-10;3;12;19;27;45;46;0;;0.00;87;6639.02;5468;105.23;3399042.30;0.00;0.00;0.00;NULL
378;2002-7-13;5;38;41;45;48;55;0;;0.00;36;25450.60;3115;293.02;4498508.08;0.00;0.00;0.00;NULL
379;2002-7-17;24;33;40;41;55;59;0;;0.00;32;23407.93;2830;263.68;11243785.66;0.00;0.00;0.00;NULL
380;2002-7-20;13;22;30;31;47;57;0;;0.00;206;6628.67;7186;189.31;12882392.95;0.00;0.00;0.00;NULL
381;2002-7-24;9;10;28;46;55;56;0;;0.00;85;14181.19;7295;164.62;14328873.76;0.00;0.00;0.00;NULL
382;2002-7-27;31;34;37;38;53;54;0;;0.00;68;23756.27;6291;255.82;16267384.96;0.00;0.00;0.00;NULL
383;2002-7-31;14;22;48;50;53;56;0;;0.00;73;23753.43;6573;262.81;18348185.45;0.00;0.00;0.00;NULL
384;2002-8-03;24;28;40;47;50;52;0;;0.00;151;18351.99;10644;259.37;21673565.65;0.00;0.00;0.00;NULL
385;2002-8-07;5;12;16;18;22;24;2;"DF; MG";12952192.89;759;4645.17;37449;93.80;0.00;0.00;0.00;0.00;NULL
386;2002-8-10;17;35;36;39;43;54;0;;0.00;70;11571.98;5236;154.12;972045.86;0.00;0.00;0.00;NULL
387;2002-8-14;22;28;29;43;47;48;0;;0.00;40;14937.65;2998;198.55;1689053.37;0.00;0.00;0.00;NULL
388;2002-8-17;23;36;48;52;53;58;0;;0.00;46;18826.46;4293;200.97;2728273.75;0.00;0.00;0.00;NULL
389;2002-8-21;5;14;18;43;46;54;0;;0.00;63;11305.19;4169;170.20;15745310.46;0.00;0.00;0.00;NULL
390;2002-8-24;7;12;22;34;38;53;1;SC;17611429.97;171;9094.15;10722;144.49;0.00;0.00;0.00;0.00;NULL
391;2002-8-28;4;7;15;16;35;40;0;;0.00;44;10170.35;2740;162.70;536994.30;0.00;0.00;0.00;NULL
392;2002-8-31;15;23;31;39;47;49;1;SP;1410917.29;68;10709.84;3591;202.03;0.00;0.00;0.00;0.00;NULL
393;2002-9-04;6;12;35;36;40;50;0;;0.00;31;13716.51;1949;217.35;510254.22;0.00;0.00;0.00;NULL
394;2002-9-07;5;15;35;42;45;49;0;;0.00;47;11817.80;4815;114.93;1176778.31;0.00;0.00;0.00;NULL
395;2002-9-11;10;11;14;20;31;58;1;DF;1843709.96;27;20584.31;2328;237.84;0.00;0.00;0.00;0.00;NULL
396;2002-9-14;6;18;34;42;45;47;0;;0.00;63;10148.72;4201;151.63;767243.59;0.00;0.00;0.00;NULL
397;2002-9-18;1;2;5;24;32;46;0;;0.00;61;7992.42;4026;120.64;1352288.49;0.00;0.00;0.00;NULL
398;2002-9-21;7;16;22;28;36;37;1;CE;2221289.77;63;11494.73;5106;141.29;0.00;0.00;0.00;0.00;NULL
399;2002-9-25;11;16;27;47;55;59;0;;0.00;20;19537.00;1730;225.01;5676171.41;0.00;0.00;0.00;NULL
400;2002-9-28;10;13;28;29;54;59;0;;0.00;75;13254.18;4875;203.14;6869047.91;0.00;0.00;0.00;NULL
401;2002-10-02;11;18;43;44;50;53;0;;0.00;33;25008.64;2853;288.18;7859389.89;0.00;0.00;0.00;NULL
402;2002-10-05;5;16;27;43;56;58;0;;0.00;146;7927.99;7787;148.08;9248373.54;0.00;0.00;0.00;NULL
403;2002-10-09;7;16;27;31;46;60;0;;0.00;48;19972.95;4099;233.01;10398815.28;0.00;0.00;0.00;NULL
404;2002-10-12;1;24;28;38;40;58;0;;0.00;66;16580.07;4364;249.80;11711956.93;0.00;0.00;0.00;NULL
405;2002-10-16;24;29;34;47;57;60;0;;0.00;67;16988.17;4579;247.63;13077805.76;0.00;0.00;0.00;NULL
406;2002-10-19;2;12;32;38;47;48;0;;0.00;78;19463.48;6557;230.66;14899587.92;0.00;0.00;0.00;NULL
407;2002-10-23;2;18;22;49;51;57;0;;0.00;90;16315.38;6383;229.18;16661649.27;0.00;0.00;0.00;NULL
408;2002-10-26;14;28;33;44;49;56;1;RJ;18948827.67;269;7085.43;13970;135.92;0.00;0.00;0.00;0.00;NULL
409;2002-10-30;18;25;26;31;34;49;0;;0.00;23;18741.96;1958;219.32;9710567.61;0.00;0.00;0.00;NULL
410;2002-11-02;8;24;31;36;38;55;0;;0.00;101;10257.12;5799;177.97;10953730.37;0.00;0.00;0.00;NULL
411;2002-11-06;10;12;31;38;45;56;0;;0.00;91;11814.39;5115;209.40;12243861.06;0.00;0.00;0.00;NULL
412;2002-11-09;5;12;14;21;45;59;0;;0.00;89;16616.72;8542;172.49;14018527.28;0.00;0.00;0.00;NULL
413;2002-11-13;2;4;29;33;35;53;0;;0.00;102;13376.53;7746;175.49;15655814.53;0.00;0.00;0.00;NULL
414;2002-11-16;16;26;35;45;52;58;1;MS;17428452.98;51;28964.68;5527;266.26;0.00;0.00;0.00;0.00;NULL
415;2002-11-20;1;4;27;38;42;44;0;;0.00;40;11027.47;2415;181.96;529318.35;0.00;0.00;0.00;NULL
416;2002-11-23;1;13;23;33;54;56;0;;0.00;44;16547.76;4032;179.90;1403039.91;0.00;0.00;0.00;NULL
417;2002-11-27;7;12;21;25;34;42;0;;0.00;78;7435.78;5218;110.73;2099028.66;0.00;0.00;0.00;NULL
418;2002-11-30;8;15;32;45;49;52;2;"ES; MG";1558712.24;82;10349.55;5133;164.72;0.00;0.00;0.00;0.00;NULL
419;2002-12-04;9;16;41;42;52;53;0;;0.00;30;14860.22;1594;278.62;8115153.05;0.00;0.00;0.00;NULL
420;2002-12-07;12;29;30;43;57;59;0;;0.00;83;13949.86;5614;205.47;9504559.06;0.00;0.00;0.00;NULL
421;2002-12-11;5;35;37;38;45;51;0;;0.00;47;21307.17;4716;211.55;10706283.47;0.00;0.00;0.00;NULL
422;2002-12-14;12;37;43;55;56;60;0;;0.00;80;16823.65;6516;205.77;12321354.11;0.00;0.00;0.00;NULL
423;2002-12-18;8;22;32;33;40;53;0;;0.00;66;17925.27;4178;282.10;13741035.48;0.00;0.00;0.00;NULL
424;2002-12-21;18;27;29;36;46;59;0;;0.00;91;17356.78;7389;212.95;15636395.41;0.00;0.00;0.00;NULL
425;2002-12-28;6;10;16;34;42;47;1;DF;18979599.19;279;9985.67;17411;159.42;0.00;0.00;0.00;0.00;NULL
426;2003-1-04;7;30;32;37;50;54;0;;0.00;58;13241.94;3139;243.76;921638.77;0.00;0.00;0.00;NULL
427;2003-1-08;3;13;14;24;43;51;0;;0.00;48;11642.10;3563;156.25;1592223.84;0.00;0.00;0.00;NULL
